Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
43,"A Bouman, R Houtman",Pawnbroking as an instrument of rural banking in the Third World,115,1988, journals.uchicago.edu, Economic development and …,https://www.journals.uchicago.edu/doi/pdf/10.1086/451708,3
6, Caskey,Pawnbroking in America: The economics of a forgotten credit market,111,1991, JSTOR, Journal of Money  Credit and Banking,https://www.jstor.org/stable/1992765,3
65,Lemire,"Peddling Fashion: Salesmen, Pawnbrokers, Taylors, Thieves and the Second-hand Clothes Trade in England, c. 1700–1800",107,1991, Taylor & Francis, Textile history,https://www.tandfonline.com/doi/pdf/10.1179/004049691793711342,3
17, Wallant,The Pawnbroker: A Novel,80,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=5BPlCgAAQBAJ&oi=fnd&pg=PA1&dq=pawnbroker&ots=VlASKPNcZ8&sig=aKap1soiefOE5OSou4TCWp7LlQw,8
79,"Bhatt, J Sinnakkannu",Ar-Rahnu (Islamic pawning broking) opportunities and challenges in Malaysia,65,2008, iefpedia.com, 6th International Islamic Finance Conference,https://www.iefpedia.com/english/wp-content/uploads/2011/03/Ar-Rahnu-Islamic-Pawning-Broking-Opportunities-and-Challenges-in-Malaysia2.pdf,4
11,Zierler,"“My Holocaust Is Not Your Holocaust”: “Facing” Black and Jewish Experience in The Pawnbroker, Higher Ground, and The Nature of Blood",57,2004, academic.oup.com, Holocaust and Genocide Studies,https://academic.oup.com/hgs/article-abstract/18/1/46/648575,3
99,C McCants,Goods at pawn: The overlapping worlds of material possessions and family finance in early modern Amsterdam,55,2007, cambridge.org, Social Science History,https://www.cambridge.org/core/journals/social-science-history/article/goods-at-pawn/F6F06FB3243D5F397DE9EA47750B75E1,3
73," Fass, J Francis",Where have all the hot goods gone? The role of pawnshops,53,2004, journals.sagepub.com, Journal of Research in Crime and …,https://journals.sagepub.com/doi/abs/10.1177/0022427803258384,3
13,Korda,Household property/stage property: Henslowe as pawnbroker,53,1996, JSTOR, Theatre Journal,https://www.jstor.org/stable/3208866,2
91, Skully,The development of the pawnshop industry in East Asia,41,2019, taylorfrancis.com, Financial landscapes reconstructed,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429038891-21/development-pawnshop-industry-east-asia-michael-skully,7
75,Fielding,"… Miles of London: With an Account of the Rise and Establishment of the Real Thieftakers: to which is Added, Advice to Pawnbrokers, Stable-keepers, and …",40,1755, books.google.com,,https://books.google.com/books?hl=en&lr=&id=f90qAAAAMAAJ&oi=fnd&dq=pawnbroker&ots=DdPV5JYphG&sig=5Nau-zc5UELYTIk3gozsqYP6kVE,0
36, Minkes,The decline of pawnbroking,35,1953, JSTOR, Economica,https://www.jstor.org/stable/2550985,0
63,Abdu,Economic and religious significance of the Islamic and conventional pawnbroking in Malaysia: behavioural and perception analysis,34,2011, etheses.dur.ac.uk,,http://etheses.dur.ac.uk/1377,2
47," Caskey, BJ Zikmund",Pawnshops: The consumer's lender of last resort,34,1990, search.proquest.com,Federal Reserve …,https://search.proquest.com/openview/db6aa32a13e7010213159e7c834041e5/1?pq-origsite=gscholar&cbl=47211,1
9,"Bos, S Carter, PM Skiba",The pawn industry and its customers: The united states and europe,31,2012, papers.ssrn.com, Vanderbilt Law and Economics …,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2149575,2
7, Oeltjen,Florida Pawnbroking: An Industry in Transition,30,1995, HeinOnline, Fla. St. UL Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/flsulr23&section=44,1
71, Husselman,Pawnbrokers' Accounts from Roman Egypt,27,1961, JSTOR, Transactions and Proceedings of the American …,https://www.jstor.org/stable/283813,0
29,"Muhamad, OT San, M Katan, SW Ni",Could not catch title,15,0," … of Academic Research in Accounting and …, 2019",H Muhamad  OT San  M Katan,"Look manually at: https://scholar.google.com/scholar?start=20&q=pawnbroker&hl=en&as_sdt=0,5",0
21,De Roover,The three golden balls of the pawnbrokers,14,1946, cambridge.org, Business History Review,https://www.cambridge.org/core/journals/business-history-review/article/three-golden-balls-of-the-pawnbrokers/AB0C0DECFD8E7C6E0850993E483E4980,0
8,Rosen,“Teach Me Gold”: Pedagogy and Memory in The Pawnbroker,12,2002, JSTOR, prooftexts,https://www.jstor.org/stable/10.2979/pft.2002.22.1-2.77,1
10,"Edwards, W Lomax",Financial credit and social discredit: the pawnbroking dilemma,11,2017, Springer, Journal of Financial Services Marketing,https://link.springer.com/article/10.1057/s41264-017-0024-7,1
2, Raymond,Pawnbrokers and Pawnbroking in Dublin: 1830-1870,10,1978, JSTOR, Dublin Historical Record,https://www.jstor.org/stable/30104102,0
32," Azli, MR Palil, SM Nor",Benefits-Sacrifices Exchange (BSX) in Islamic pawn broking transaction: An exploratory factor analysis,8,2016, researchgate.net, International Journal of Business …,https://www.researchgate.net/profile/Rafidah-Mohd-Azli/publication/309486636_BENEFITS-SACRIFICES_EXCHANGE_BSX_IN_ISLAMIC_PAWN_BROKING_TRANSACTION_AN_EXPLORATORY_FACTOR_ANALYSIS/links/583d9b7308aeda69680704b5/BENEFITS-SACRIFICES-EXCHANGE-BSX-IN-ISLAMIC-PAWN-BROKING-TRANSACTION-AN-EXPLORATORY-FACTOR-ANALYSIS.pdf,1
77,"Yan, MR Hyman",Pawnbroking in pre-1949 China: soft strategies for overcoming a negative image,8,2019, emerald.com, Asia Pacific Journal of Marketing and Logistics,https://www.emerald.com/insight/content/doi/10.1108/APJML-10-2017-0262/full/html,1
